_id,uid,model,error_type,ref_word,hyp_word,start_time,end_time,clip_path
5c25f67a,18NaDpHI26QLHgr4aoZ2h4e0OKeuueNUd,azure,del,No,,0.0,4.34,wav_files/odiya/18NaDpHI26QLHgr4aoZ2h4e0OKeuueNUd_16000.wav
3499aa25,18NaDpHI26QLHgr4aoZ2h4e0OKeuueNUd,azure,del,Transcription,,0.0,4.34,wav_files/odiya/18NaDpHI26QLHgr4aoZ2h4e0OKeuueNUd_16000.wav
27ee96d7,18NaDpHI26QLHgr4aoZ2h4e0OKeuueNUd,azure,del,Available,,0.0,4.34,wav_files/odiya/18NaDpHI26QLHgr4aoZ2h4e0OKeuueNUd_16000.wav
896bd72d,1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd,azure,sub,ଆମର,ଆମ,0.27,0.79,wav_files/odiya/1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd_16000.wav
4e8dcf3a,1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd,azure,sub,ନୀତିଦିନିଆ,ନିତିଦିନିଆ,0.79,1.27,wav_files/odiya/1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd_16000.wav
34ddf420,1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd,azure,sub,ଲାଗେ।,ଲାଗେ,1.71,2.03,wav_files/odiya/1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd_16000.wav
e2b1d3df,1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd,azure,sub,ସହିତ।,ସହିତ,3.63,3.91,wav_files/odiya/1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd_16000.wav
14a546c0,1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd,azure,sub,ଔଷଧିୟ,ଔଷଧୀୟ,6.43,6.83,wav_files/odiya/1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd_16000.wav
45ddbbcd,1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd,azure,sub,ରହିଅଛି।,ରହିଛି,7.15,7.39,wav_files/odiya/1Wm_4Igef7hiFlwSDTPfS_Bp81rBniFEd_16000.wav
97ef29ea,1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO,azure,sub,ଏଥପାଇଁ,ଏଥିପାଇଁ,0.11,0.59,wav_files/odiya/1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO_16000.wav
ef3436d9,1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO,azure,ins,,ଦିନକୁ,1.55,2.03,wav_files/odiya/1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO_16000.wav
313d970c,1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO,azure,ins,,ଦିନ,2.03,2.19,wav_files/odiya/1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO_16000.wav
ad562333,1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO,azure,sub,ଦିନକୁଦିନ,ଅଦା,2.83,3.11,wav_files/odiya/1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO_16000.wav
b2ec5fa5,1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO,azure,sub,ଅଦାଚାଷ,ଚାଷ,4.71,4.95,wav_files/odiya/1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO_16000.wav
8a96d6aa,1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO,azure,sub,ହେଉଅଛି।,ହେଇଅଛି,6.35,6.59,wav_files/odiya/1KsaqJUs8wppXBNouqt6TyBT8nu6m2UlO_16000.wav
a343c9b2,1AFOiLYUIw7iHHLwNyaWqe9ai2Bor1NPL,azure,ins,,ଚାଷୀ,5.23,5.47,wav_files/odiya/1AFOiLYUIw7iHHLwNyaWqe9ai2Bor1NPL_16000.wav
155c2541,1AFOiLYUIw7iHHLwNyaWqe9ai2Bor1NPL,azure,sub,ଚାଷୀଭାଇ,ପାଇଁ,5.47,5.87,wav_files/odiya/1AFOiLYUIw7iHHLwNyaWqe9ai2Bor1NPL_16000.wav
904ddaed,1AFOiLYUIw7iHHLwNyaWqe9ai2Bor1NPL,azure,sub,ହୋଇପାରୁଛନ୍ତି।,ହୋଇପାରିଛନ୍ତି,7.35,7.91,wav_files/odiya/1AFOiLYUIw7iHHLwNyaWqe9ai2Bor1NPL_16000.wav
94e59b8f,1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm,azure,ins,,ଚାଷ,0.55,0.67,wav_files/odiya/1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm_16000.wav
fad8566f,1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm,azure,sub,ଚାଷର,ର,0.67,0.99,wav_files/odiya/1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm_16000.wav
5055991d,1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm,azure,ins,,ଦି,5.19,5.47,wav_files/odiya/1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm_16000.wav
edb575c4,1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm,azure,sub,ଦିଆଯାଉଛି।,ଦିଆଯାଉଛି,5.07,5.47,wav_files/odiya/1hU5TYV3tzOaMLnhPSzNsCXr6AFALC7Mm_16000.wav
4ad90e7b,1pSxl_7xuQHOi14PFZzmRCaXRoH-fK9Mp,azure,ins,,ସତ୍ତ୍ୱେ,3.03,3.35,wav_files/odiya/1pSxl_7xuQHOi14PFZzmRCaXRoH-fK9Mp_16000.wav
ec16033f,1pSxl_7xuQHOi14PFZzmRCaXRoH-fK9Mp,azure,sub,ସହ,ବେଳେ,3.35,3.63,wav_files/odiya/1pSxl_7xuQHOi14PFZzmRCaXRoH-fK9Mp_16000.wav
