_id,uid,model,error_type,ref_word,hyp_word,start_time,end_time,clip_path
6a4d932f,1_D9amm2C3uF_o4TOIEwi7vvjgT1EsJi4,google,del,No,,0.0,15.04,wav_files/1_D9amm2C3uF_o4TOIEwi7vvjgT1EsJi4_16000.wav
9ea79c7c,1_D9amm2C3uF_o4TOIEwi7vvjgT1EsJi4,google,del,Transcription,,0.0,15.04,wav_files/1_D9amm2C3uF_o4TOIEwi7vvjgT1EsJi4_16000.wav
7c185a5b,1_D9amm2C3uF_o4TOIEwi7vvjgT1EsJi4,google,del,Available,,0.0,15.04,wav_files/1_D9amm2C3uF_o4TOIEwi7vvjgT1EsJi4_16000.wav
d212d121,1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ,google,del,कहा,,0.0,4.28,wav_files/1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ_16000.wav
679fe9e7,1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ,google,sub,जातनि,कहां,0.7,1.0,wav_files/1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ_16000.wav
b4dcb672,1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ,google,sub,<noise>प्रणाम,है,1.0,1.0,wav_files/1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ_16000.wav
c99ea53c,1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ,google,sub,दीदी,जापानी,1.0,1.4,wav_files/1iHXscr6-T78WWlLOZBoPlv3OOAFdGmsJ_16000.wav
02479232,1zLR0YhzZEV5o43Zjri2AWk_aiPawt_fn,google,del,प्रणाम,,0.0,0.85,wav_files/1zLR0YhzZEV5o43Zjri2AWk_aiPawt_fn_16000.wav
7ad7400b,1zLR0YhzZEV5o43Zjri2AWk_aiPawt_fn,google,del,दीदी।,,0.0,0.85,wav_files/1zLR0YhzZEV5o43Zjri2AWk_aiPawt_fn_16000.wav
92069a81,18b3PT2DJIMtoLt3Jd_KSA4PLUmX-SBZK,google,ins,,कहां,0.2,0.5,wav_files/18b3PT2DJIMtoLt3Jd_KSA4PLUmX-SBZK_16000.wav
