term,category
अ,Generic
अंकुरन,Agri Practice
अंकुरल,Variety
अंकुरित,Generic
अंकुरे,Generic
अंडवा,Crop
अंडा,Generic
अंदर,Generic
अइ,Generic
अइनि,Generic
अइनी,Generic
अइनी,Generic
अइले,Generic
अइसन,Generic
अइसनके,Generic
अइसे,Generic
अइहा,Generic
अउर,Generic
अउरी,Crop
अकुरल,Generic
अगर,Generic
अगल,Generic
अगला,Generic
अगिला,Generic
अच्छा,Generic
अच्छा,Generic
अच्छी,Generic
अटे,Generic
अट्ठारह,Numeral
अठारह,Numeral
अठारा,Numeral
अठै,Numeral
अड़तालीस,Numeral
अढ़ाई,Numeral
अथि,Generic
अदम,Generic
अधिक,Generic
अधिका,Generic
अध्यक्ष,Generic
अध्यक्ष,Generic
सचिव,Generic
अनीता,Generic
अनुकूल,Generic
अनुरोद,Generic
अनुरोध,Generic
अनुश्रवण,Agri Practice
अपन,Generic
अपना,Generic
अपनाइयन,Generic
अपनाई,Generic
अपनावे,Generic
अपनाही,Generic
अपने,Generic
अब,Generic
अबकी,Generic
अबतावा,Generic
अब्सकता,Generic
अब।,Generic
अभिये,Generic
अभी,Generic
अभी।,Generic
अम्र,Crop
अर,Generic
अरे,Generic
अरो,Generic
अलग,Generic
अलवला,Generic
अलावे,Generic
अलौला,Variety
अवसर,Generic
अवाता,Generic
अस्सी,Numeral
आ,Generic
आइ,Generic
आइनु,Country/Place
आइये,Generic
आइल,Generic
आई,Generic
आईं,Generic
आईनिया,Generic
आईल,Generic
आईल्ल,Generic
आई।,Generic
आउर,Generic
आउरी,Crop
आएंगे,Generic
आएब।,Generic
आएम,Generic
आएला,Generic
आएला।,Generic
आओ,Generic
आकर,Generic
आकि,Generic
आके,Generic
आखिर,Generic
आगे,Generic
आगैनी,Agri Practice
आज,Generic
आजा,Crop
आजाइ,Generic
आझे,Generic
आटे,Generic
आठ,Numeral
आदमी,Generic
आदि।,Generic
आद्रता,Generic
आधा,Numeral
आपन,Generic
आपना,Generic
आपनीके,Generic
आपलोगो,Generic
आपसी,Generic
आम,Crop
आयम,Generic
आयिल,Generic
आयी,Generic
आये,Generic
आयें।,Generic
आयेनी,Generic
आयेम,Generic
आर,Generic
आरजीबी,Generic
आरसीएफ,Generic
आर्थिक,Generic
आलुओ,Crop
आलू,Crop
आलूया,Crop
आव,Generic
आवइतानी।,Generic
आवत,Generic
आवतनी,Generic
आवतबानी,Generic
आवता,Generic
आवतानि,Generic
आवतानी,Generic
आवतानी।,Agri Practice
आवता।,Generic
आवल,Crop
आवा,Crop
आवे,Generic
आवेनि,Generic
आवेला,Generic
आसान,Generic
इ,Generic
इंच,Agriculture unit
इंची,Agriculture unit
इंच,Generic
इकरा,Generic
इकराके,Generic
इकरी,Crop
इके,Generic
इटू,Generic
इतना,Generic
इतो,Generic
इनकर,Generic
इन्जरा,Generic
इबे,Generic
इमे,Generic
इमें,Generic
इमैं,Generic
इये,Generic
इस,Generic
इसरावती,Variety
इससे,Generic
इस्वर,Generic
इहवा,Crop
इहा,Generic
इहे,Generic
इहो,Generic
ई,Generic
उ,Generic
उकरा,Generic
उचाई,Generic
उजाला,Generic
उटिंग,Generic
उठा,Generic
उठाइ।,Generic
उठाई,Agri Practice
उठाईये,Generic
उठाए,Generic
उठाय,Generic
उठायी।,Agri Practice
उठाये,Generic
उठावे,Agri Practice
उठावे,Generic
उत्तरदायीत्व,Generic
उदाहरण,Generic
उनकराय,Generic
उनका,Generic
उनके,Generic
उनसे,Generic
उनहत्तर,Numeral
उना,Country/Place
उने,Generic
उन्चास,Numeral
उप,Generic
उपचार,Agri Practice
उपचारन,Agri Practice
उपचारित,Generic
उपचारेके,Generic
उपचारो,Agri Practice
उपज,Generic
उपजा,Generic
उपजाइ,Generic
उपजाऊ,Generic
उपयन्तो,Generic
उपर,Generic
उपरादित्र,Generic
उपविधि,Generic
उपसचिव,Generic
उपसमिति,Generic
उपसमिति,Generic
उपा,Generic
उपाध्यक्ष,Generic
उमर,Generic
उमिर,Generic
उमे,Generic
उमें,Generic
उर्वरक,Soil Nutrient/Fertiliser
उलटी,Symptom
उवामाँ,Generic
उहा,Generic
उहे,Generic
उहेसे,Generic
ऊँगली,Generic
ऊके,Generic
ऊपर,Generic
ऊपरे,Generic
ऋण,Generic
