_id,uid,model,error_type,ref_word,hyp_word,start_time,end_time,clip_path
fe8ed1fc,1XKG0tsT1puURmkFJGbGnFjNLIN8cHQZc,google,del,No,,0.0,22.72,wav_files/telugu/1XKG0tsT1puURmkFJGbGnFjNLIN8cHQZc_16000.wav
f7eeff28,1XKG0tsT1puURmkFJGbGnFjNLIN8cHQZc,google,del,Transcription,,0.0,22.72,wav_files/telugu/1XKG0tsT1puURmkFJGbGnFjNLIN8cHQZc_16000.wav
d2afed27,1XKG0tsT1puURmkFJGbGnFjNLIN8cHQZc,google,del,Available,,0.0,22.72,wav_files/telugu/1XKG0tsT1puURmkFJGbGnFjNLIN8cHQZc_16000.wav
3ece43e4,1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt,google,del,:,,0.0,9.97,wav_files/telugu/1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt_16000.wav
dd511806,1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt,google,sub,పెరిగినప్పుడే,పెరిగినప్పుడు,6.0,7.2,wav_files/telugu/1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt_16000.wav
99760527,1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt,google,del,ఉంటుంది,,0.0,9.97,wav_files/telugu/1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt_16000.wav
ec445dd8,1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt,google,del,.,,0.0,9.97,wav_files/telugu/1KBM57r3EB8-uuX7zjl2ZDQlctKg3rZJt_16000.wav
90f1f8f4,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,పసుపు,0.0,0.8,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
e5f2a729,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,పంటలో,0.8,1.2,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
e5b0b649,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,తెగుళ్లు,1.2,1.5,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
1be0cc8b,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,వలన,1.5,2.1,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
c5190c76,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,40,2.1,2.8,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
b033eb97,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,నుండి,2.8,3.2,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
b87899b7,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,60,3.2,3.6,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
fb15cb86,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,శాతం,3.6,4.3,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
06ef68ef,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,వరకు,4.3,4.4,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
694d5543,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,పంట,4.4,5.3,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
5df79e4d,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,నష్టం,5.3,5.8,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
734a9124,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,వాటిల్లే,5.8,6.3,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
726a44cb,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,అవకాశం,6.3,7.0,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
2fc8e4b4,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,ఉంటుంది,7.0,7.5,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
48f44103,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,కనుక,7.5,7.7,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
86eff4fb,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,రైతులు,7.7,9.0,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
0306a63d,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,అప్రమత్తంగా,9.0,9.4,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
d12afb11,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,ఉండి,9.4,10.3,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
b9298c8a,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,తెగుళ్ల,10.3,11.1,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
d634d63f,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,నివారణకు,11.1,11.7,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
243d98e1,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,ముందస్తు,11.7,12.7,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
72a804cd,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,సస్యరక్షణ,12.7,13.3,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
e03ce934,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,చర్యలు,13.3,13.9,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
6029cc9a,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,చేపడితే,13.9,14.5,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
dd9026ac,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,మేలైన,14.5,15.5,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
08268bb2,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,ins,,దిగుబడులు,15.5,16.1,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
684163b2,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,sub,No,సాధించే,16.1,16.7,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
17f8899d,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,sub,Transcription,అవకాశం,16.7,17.5,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
abcea2c3,1Etobazgl1s8zGBYv30074yWieEvj5R64,google,sub,Available,ఉంది,17.5,17.6,wav_files/telugu/1Etobazgl1s8zGBYv30074yWieEvj5R64_16000.wav
