term,category
ଅଇଲା,Generic
ଅଇଲି,Generic
ଅକେ,Generic
ଅକ୍ଷର,Generic
ଅକ୍ଷରର,Generic
ଅକ୍ସିକ୍ଲୋରାଇଡ୍,Chemical Name
ଅକ୍ସିକ୍ଲୋରାଇଡ୍କୁ,Chemical Name
ଅଖା,Variety
ଅଗ,Generic
ଅଗାଡ଼ି,Generic
ଅଗ୍ନେୟା,Generic
ଅଗ୍ର,Generic
ଅଙ୍କିତ,Generic
ଅଙ୍କୁରିତ,Agri Practice
ଅଙ୍କୁଶ,Generic
ଅଙ୍ଗନ,Generic
ଅଙ୍ଗାର,Generic
ଅଚିନା,Generic
ଅଛନ୍ତି,Generic
ଅଛି,Generic
ଅଛି,Generic
ପଛୁଆ,Season Name
ଅଛିନା,Generic
ଅଛୁ,Generic
ଅଛୁନା,Generic
ଅଛୁସ,Generic
ଅଛେ,Generic
ଅଜୟ,Generic
ଅଞ୍ଚଳରେ,Generic
ଅଞ୍ଜଳି,Generic
ଅଟେ,Generic
ଅଟୋମେଟିକ,Generic
ଅଠ,Numeral
ଅଠଚାଳିଶ,Numeral
ଅଠେଇଶରୁ,Numeral
ଅଠେଇସି,Numeral
ଅଡା,Crop
ଅଡୁଆ,Crop
ଅଢ଼େଇ,Generic
ଅଢେଇ,Numeral
ଅଣ,Agriculture unit
ଅଣଜଳ,Generic
ଅଣଜଳସେଚିତ,Agri Practice
ଅଣାହେଇଥିଲା,Generic
ଅଣୁସାର,Generic
ଅଣ୍ଟା,Generic
ଅଣ୍ଟାଟା,Generic
ଅଣ୍ଡା,Generic
ଅଣ୍ଡିରା,Generic
ଅତିକମରେ,Generic
ଅତିଥି,Generic
ଅଦା,Crop
ଅଦାଟା,Agriculture unit
ଅଦାତ,Generic
ଅଧ,Generic
ଅଧା,Numeral
ଅଧିକ,Generic
ଅଧିକା,Generic
ଅନାବନା,Agri Practice
ଅନିଷ୍ଟକାରି,Pest/Disease
ଅନୁକୂଳ,Generic
ଅନୁଷ୍ଠାନ,Generic
ଅନୁଷ୍ଠାନର,Generic
ଅନୁସାରେ,Generic
ଅନ୍ତ,Generic
ଅନ୍ତରରେ,Generic
ଅନ୍ଧାର,Generic
ଅନ୍ନ,Crop
ଅନ୍ୟ,Generic
ଅବସ୍ତାକୁ,Generic
ଅବସ୍ତାରେ,Generic
ଅବସ୍ଥା,Generic
ଅଭାବ,Generic
ଅଭାବଜନିତ,Generic
ଅଭାବରୁ,Generic
ଅମଳ,Crop
ଅମାର,Generic
ଅମୃତ,Generic
ଅମୃତଜଳ,Soil Nutrient/Fertiliser
ଅମୃତପାଣି,Soil Nutrient/Fertiliser
ଅମୋଟ,Variety
ଅମ୍ଳ,Generic
ଅମ୍ଳକ୍ଷମ,Symptom
ଅରଖ,Generic
